N,Error_LR, Error_MP, Error_TP
5,0.45,0.025,0.05
6,0.381944,0.0173611,0.0347222
7,0.331633,0.0127551,0.0255102
8,0.292969,0.00976562,0.0195312
9,0.262346,0.00771605,0.0154321
10,0.2375,0.00625,0.0125
11,0.216942,0.00516529,0.0103306
12,0.199653,0.00434028,0.00868056
13,0.184911,0.00369822,0.00739645
14,0.172194,0.00318878,0.00637755
15,0.161111,0.00277778,0.00555556
16,0.151367,0.00244141,0.00488281
17,0.142734,0.00216263,0.00432526
18,0.135031,0.00192901,0.00385802
19,0.128116,0.0017313,0.0034626
20,0.121875,0.0015625,0.003125
21,0.116213,0.00141723,0.00283447
22,0.111054,0.00129132,0.00258264
23,0.106333,0.00118147,0.00236295
24,0.101997,0.00108507,0.00217014
25,0.098,0.001,0.002
26,0.0943047,0.000924556,0.00184911
27,0.0908779,0.000857339,0.00171468
28,0.0876913,0.000797194,0.00159439
29,0.0847206,0.000743163,0.00148633
30,0.0819444,0.000694444,0.00138889
31,0.0793444,0.000650364,0.00130073
32,0.0769043,0.000610352,0.0012207
33,0.0746097,0.000573921,0.00114784
34,0.0724481,0.000540657,0.00108131
35,0.0704082,0.000510204,0.00102041
36,0.0684799,0.000482253,0.000964506
37,0.0666545,0.000456538,0.000913075
38,0.0649238,0.000432825,0.000865651
39,0.0632807,0.000410914,0.000821828
40,0.0617188,0.000390625,0.00078125
41,0.060232,0.000371802,0.000743605
42,0.0588152,0.000354308,0.000708617
43,0.0574635,0.000338021,0.000676041
44,0.0561725,0.000322831,0.000645661
45,0.0549383,0.000308642,0.000617284
46,0.0537571,0.000295369,0.000590737
47,0.0526256,0.000282933,0.000565867
48,0.0515408,0.000271267,0.000542535
49,0.0504998,0.000260308,0.000520616
50,0.0495,0.00025,0.0005
51,0.048539,0.000240292,0.000480584
52,0.0476146,0.000231139,0.000462278
53,0.0467248,0.000222499,0.000444998
54,0.0458676,0.000214335,0.000428669
55,0.0450413,0.000206612,0.000413223
56,0.0442443,0.000199298,0.000398597
57,0.0434749,0.000192367,0.000384734
58,0.0427319,0.000185791,0.000371581
59,0.0420138,0.000179546,0.000359092
60,0.0413194,0.000173611,0.000347222
61,0.0406477,0.000167966,0.000335931
62,0.0399974,0.000162591,0.000325182
63,0.0393676,0.00015747,0.000314941
64,0.0387573,0.000152588,0.000305176
65,0.0381657,0.000147929,0.000295858
66,0.0375918,0.00014348,0.000286961
67,0.037035,0.000139229,0.000278458
68,0.0364944,0.000135164,0.000270329
69,0.0359693,0.000131275,0.00026255
70,0.0354592,0.000127551,0.000255102
71,0.0349633,0.000123983,0.000247967
72,0.0344811,0.000120563,0.000241127
73,0.034012,0.000117283,0.000234566
74,0.0335555,0.000114134,0.000228269
75,0.0331111,0.000111111,0.000222222
76,0.0326783,0.000108206,0.000216413
77,0.0322567,0.000105414,0.000210828
78,0.0318458,0.000102728,0.000205457
79,0.0314453,0.000100144,0.000200288
80,0.0310547,9.77E-05,0.000195312
81,0.0306737,9.53E-05,0.00019052
82,0.0303019,9.30E-05,0.000185901
83,0.029939,9.07E-05,0.000181449
84,0.0295848,8.86E-05,0.000177154
85,0.0292388,8.65E-05,0.00017301
86,0.0289008,8.45E-05,0.00016901
87,0.0285705,8.26E-05,0.000165147
88,0.0282477,8.07E-05,0.000161415
89,0.0279321,7.89E-05,0.000157808
90,0.0276235,7.72E-05,0.000154321
91,0.0273216,7.55E-05,0.000150948
92,0.0270262,7.38E-05,0.000147684
93,0.0267372,7.23E-05,0.000144525
94,0.0264543,7.07E-05,0.000141467
95,0.0261773,6.93E-05,0.000138504
96,0.025906,6.78E-05,0.000135634
97,0.0256403,6.64E-05,0.000132852
98,0.02538,6.51E-05,0.000130154
99,0.025125,6.38E-05,0.000127538
100,0.024875,6.25E-05,0.000125
