t,v(t)
0,0
0.02,-0.1934
0.04,-0.3868
0.06,-0.5802
0.08,-0.7736
0.1,-0.966999
0.12,-1.1604
0.14,-1.3538
0.16,-1.5472
0.18,-1.7406
0.2,-1.93399
0.22,-2.12739
0.24,-2.32079
0.26,-2.51419
0.28,-2.70758
0.3,-2.90098
0.32,-3.09437
0.34,-3.28777
0.36,-3.48116
0.38,-3.67456
0.4,-3.86795
0.42,-4.06134
0.44,-4.25473
0.46,-4.44812
0.48,-4.64151
0.5,-4.8349
0.52,-5.02829
0.54,-5.22167
0.56,-5.41506
0.58,-5.60844
0.6,-5.80182
0.62,-5.99521
0.64,-6.18859
0.66,-6.38196
0.68,-6.57534
0.7,-6.76872
0.72,-6.96209
0.74,-7.15547
0.76,-7.34884
0.78,-7.54221
0.8,-7.73558
0.82,-7.92894
0.84,-8.12231
0.86,-8.31567
0.88,-8.50904
0.9,-8.7024
0.92,-8.89575
0.94,-9.08911
0.96,-9.28247
0.98,-9.47582
1,-9.66917
1.02,-9.86252
1.04,-10.0559
1.06,-10.2492
1.08,-10.4426
1.1,-10.6359
1.12,-10.8292
1.14,-11.0226
1.16,-11.2159
1.18,-11.4092
1.2,-11.6026
1.22,-11.7959
1.24,-11.9892
1.26,-12.1825
1.28,-12.3758
1.3,-12.5692
1.32,-12.7625
1.34,-12.9558
1.36,-13.1491
1.38,-13.3424
1.4,-13.5357
1.42,-13.729
1.44,-13.9223
1.46,-14.1156
1.48,-14.3089
1.5,-14.5022
1.52,-14.6955
1.54,-14.8887
1.56,-15.082
1.58,-15.2753
1.6,-15.4686
1.62,-15.6618
1.64,-15.8551
1.66,-16.0484
1.68,-16.2416
1.7,-16.4349
1.72,-16.6281
1.74,-16.8214
1.76,-17.0146
1.78,-17.2078
1.8,-17.4011
1.82,-17.5943
1.84,-17.7875
1.86,-17.9808
1.88,-18.174
1.9,-18.3672
1.92,-18.5604
1.94,-18.7536
1.96,-18.9468
1.98,-19.14
2,-19.3332
2.02,-19.5264
2.04,-19.7196
2.06,-19.9128
2.08,-20.106
2.1,-20.2992
2.12,-20.4923
2.14,-20.6855
2.16,-20.8787
2.18,-21.0718
2.2,-21.265
2.22,-21.4581
2.24,-21.6513
2.26,-21.8444
2.28,-22.0376
2.3,-22.2307
2.32,-22.4238
2.34,-22.617
2.36,-22.8101
2.38,-23.0032
2.4,-23.1963
2.42,-23.3894
2.44,-23.5825
2.46,-23.7756
2.48,-23.9687
2.5,-24.1618
2.52,-24.3548
2.54,-24.5479
2.56,-24.741
